race,gender,model,perturbation,severity,similarity
East Asian,Male,Facenet,eye_occlusion,high,0.942886130565509
East Asian,Male,Facenet,gaussian_noise,15,0.6624843031400758
East Asian,Male,Facenet,gaussian_blur,7,0.9271350975981186
East Asian,Male,Facenet,gamma_correction,0.5,0.35018253831002627
East Asian,Male,ArcFace,eye_occlusion,high,0.8848684928769166
East Asian,Male,ArcFace,gaussian_noise,15,0.7943217080081497
East Asian,Male,ArcFace,gaussian_blur,7,0.9869115021390451
East Asian,Male,ArcFace,gamma_correction,0.5,0.5558148011684566
East Asian,Male,VGG-Face,eye_occlusion,high,0.7352908446136676
East Asian,Male,VGG-Face,gaussian_noise,15,0.8530156793913019
East Asian,Male,VGG-Face,gaussian_blur,7,0.9875314709820735
East Asian,Male,VGG-Face,gamma_correction,0.5,0.8366457297940719
Indian,Female,Facenet,eye_occlusion,high,0.8312111499223477
Indian,Female,Facenet,gaussian_noise,15,0.8090433740162416
Indian,Female,Facenet,gaussian_blur,7,0.9601485833816084
Indian,Female,Facenet,gamma_correction,0.5,0.8574746372199721
Indian,Female,ArcFace,eye_occlusion,high,0.8836009385575747
Indian,Female,ArcFace,gaussian_noise,15,0.720032860740531
Indian,Female,ArcFace,gaussian_blur,7,0.9782436584583888
Indian,Female,ArcFace,gamma_correction,0.5,0.8018170158161956
Indian,Female,VGG-Face,eye_occlusion,high,0.7723614144808736
Indian,Female,VGG-Face,gaussian_noise,15,0.8399068741994705
Indian,Female,VGG-Face,gaussian_blur,7,0.9872500279632163
Indian,Female,VGG-Face,gamma_correction,0.5,0.7739807325617514
White,Female,Facenet,eye_occlusion,high,0.9752855118112947
White,Female,Facenet,gaussian_noise,15,0.9719398754216777
White,Female,Facenet,gaussian_blur,7,0.9783439795249189
White,Female,Facenet,gamma_correction,0.5,0.8917302861355663
White,Female,ArcFace,eye_occlusion,high,0.9108878161940874
White,Female,ArcFace,gaussian_noise,15,0.9290006325000223
White,Female,ArcFace,gaussian_blur,7,0.9665631465904884
White,Female,ArcFace,gamma_correction,0.5,0.9304651735507565
White,Female,VGG-Face,eye_occlusion,high,0.7958999311092156
White,Female,VGG-Face,gaussian_noise,15,0.9297921968439841
