group,race,gender,model,perturbation,severity,similarity,status
Black_Male,Black,Male,Facenet,eye_occlusion,high,0.9773969914755394,MATCH
Black_Male,Black,Male,Facenet,gaussian_noise,15,0.9291917472741295,MATCH
Black_Male,Black,Male,Facenet,gaussian_blur,7,0.9672119928494194,MATCH
Black_Male,Black,Male,Facenet,gamma_correction,0.5,0.9531556092287681,MATCH
Black_Male,Black,Male,ArcFace,eye_occlusion,high,0.9514137417829032,MATCH
Black_Male,Black,Male,ArcFace,gaussian_noise,15,0.878497911544562,MATCH
Black_Male,Black,Male,ArcFace,gaussian_blur,7,0.9798890815867056,MATCH
Black_Male,Black,Male,ArcFace,gamma_correction,0.5,0.8590838013060931,MATCH
Black_Male,Black,Male,VGG-Face,eye_occlusion,high,0.9365527388831397,MATCH
Black_Male,Black,Male,VGG-Face,gaussian_noise,15,0.8100445288589554,FAILURE
Black_Male,Black,Male,VGG-Face,gaussian_blur,7,0.9911735160358676,MATCH
Black_Male,Black,Male,VGG-Face,gamma_correction,0.5,0.6214138477406783,FAILURE
Black_Male,Black,Male,Facenet,eye_occlusion,high,0.9601534755038338,MATCH
Black_Male,Black,Male,Facenet,gaussian_noise,15,0.9485004587379422,MATCH
Black_Male,Black,Male,Facenet,gaussian_blur,7,0.9837912330744751,MATCH
Black_Male,Black,Male,Facenet,gamma_correction,0.5,0.6243428201612025,FAILURE
Black_Male,Black,Male,ArcFace,eye_occlusion,high,0.9293618682452964,MATCH
Black_Male,Black,Male,ArcFace,gaussian_noise,15,0.9205637093810084,MATCH
Black_Male,Black,Male,ArcFace,gaussian_blur,7,0.981770860783119,MATCH
Black_Male,Black,Male,ArcFace,gamma_correction,0.5,0.9122634485074732,MATCH
Black_Male,Black,Male,VGG-Face,eye_occlusion,high,0.8940413995794472,MATCH
Black_Male,Black,Male,VGG-Face,gaussian_noise,15,0.9388025735139442,MATCH
Black_Male,Black,Male,VGG-Face,gaussian_blur,7,0.9934682028258656,MATCH
Black_Male,Black,Male,VGG-Face,gamma_correction,0.5,0.728430950033365,FAILURE
Black_Male,Black,Male,Facenet,eye_occlusion,high,0.9954940140910424,MATCH
Black_Male,Black,Male,Facenet,gaussian_noise,15,0.954105582667092,MATCH
